"Speaker","ClipNumber","Recipient","recent.similarity"
"Alicia",5,"Rob",0.25705862
"Alicia",5,"Rupert",0.28958267
"Alicia",5,"ShiiAnn",0.21831678
"Alicia",5,"Tom",0.0956532
"Amber",5,"Alicia",0.53079426
"Amber",5,"Amber",1
"Amber",5,"Jenna",0.41300654
"Amber",5,"Rob",0.3644238
"Amber",5,"Rupert",0.49796692
"Amber",5,"ShiiAnn",0.24792984
"Amber",5,"Tom",0.09435143
"Jenna",5,"Alicia",0.2030296
"Jenna",5,"Amber",0.41300654
"Jenna",5,"Jenna",0.9999999
"Jenna",5,"Rob",0.2454229
"Jenna",5,"Rupert",0.4961284
"Jenna",5,"ShiiAnn",0.17984018
"Jenna",5,"Tom",0.08198449
"Rob",5,"Alicia",0.25705862
"Rob",5,"Amber",0.3644238
"Rob",5,"Jenna",0.2454229
"Rob",5,"Rob",1
"Rob",5,"Rupert",0.42723477
"Rob",5,"ShiiAnn",0.018194867
"Rob",5,"Tom",0.12560573
"Rupert",5,"Alicia",0.28958267
"Rupert",5,"Amber",0.49796692
"Rupert",5,"Jenna",0.4961284
"Rupert",5,"Rob",0.42723477
"Rupert",5,"Rupert",0.99999994
"Rupert",5,"ShiiAnn",0.24629918
"Rupert",5,"Tom",0.14027348
"ShiiAnn",5,"Alicia",0.21831678
"ShiiAnn",5,"Amber",0.24792984
"ShiiAnn",5,"Jenna",0.17984018
"ShiiAnn",5,"Rob",0.018194867
"ShiiAnn",5,"Rupert",0.24629918
"ShiiAnn",5,"ShiiAnn",1
"ShiiAnn",5,"Tom",0.02825296
"Tom",5,"Alicia",0.0956532
"Tom",5,"Amber",0.09435143
"Tom",5,"Jenna",0.08198449
"Tom",5,"Rob",0.12560573
"Tom",5,"Rupert",0.14027348
"Tom",5,"ShiiAnn",0.02825296
"Tom",5,"Tom",0.99999994
"Alicia",6,"Alicia",0.99999994
"Alicia",6,"Amber",0.106054865
"Alicia",6,"Jenna",0.0793232
"Alicia",6,"Rob",0.075233474
"Alicia",6,"Rupert",0.10292376
"Alicia",6,"ShiiAnn",0.1044106
"Alicia",6,"Tom",0.99999994
"Amber",6,"Alicia",0.106054865
"Amber",6,"Amber",1.0000004
"Amber",6,"Jenna",0.43154147
"Amber",6,"Rob",0.20707624
"Amber",6,"Rupert",0.40737715
"Amber",6,"ShiiAnn",0.38380897
"Amber",6,"Tom",0.106054865
"Jenna",6,"Alicia",0.0793232
"Jenna",6,"Amber",0.43154147
"Jenna",6,"Jenna",1.0000004
"Jenna",6,"Rob",0.29698163
"Jenna",6,"Rupert",0.54687035
"Jenna",6,"ShiiAnn",0.33121172
"Jenna",6,"Tom",0.0793232
"Rob",6,"Alicia",0.075233474
"Rob",6,"Amber",0.20707624
"Rob",6,"Jenna",0.29698163
"Rob",6,"Rob",1.0000002
"Rob",6,"Rupert",0.2398248
"Rob",6,"ShiiAnn",0.13599606
"Rob",6,"Tom",0.075233474
"Rupert",6,"Alicia",0.10292376
"Rupert",6,"Amber",0.40737715
"Rupert",6,"Jenna",0.54687035
"Rupert",6,"Rob",0.2398248
"Rupert",6,"Rupert",0.9999999
"Rupert",6,"ShiiAnn",0.38499153
"Rupert",6,"Tom",0.10292376
"ShiiAnn",6,"Alicia",0.1044106
"ShiiAnn",6,"Amber",0.38380897
"ShiiAnn",6,"Jenna",0.33121172
"ShiiAnn",6,"Rob",0.13599606
"ShiiAnn",6,"Rupert",0.38499153
"ShiiAnn",6,"ShiiAnn",1.0000001
"ShiiAnn",6,"Tom",0.1044106
"Tom",6,"Alicia",0.99999994
"Tom",6,"Amber",0.106054865
"Tom",6,"Jenna",0.0793232
"Tom",6,"Rob",0.075233474
"Tom",6,"Rupert",0.10292376
"Tom",6,"ShiiAnn",0.1044106
"Tom",6,"Tom",0.99999994
