ClipNumber,Dialogue,Speaker,Recipient,RecipientType
2,"Amber, you only have one. If Rupert gets this right, he will obliterate you and win the challenge.",Probst,Amber,
2,Who never shut's up? Reveal. You both say Jenna.,Probst,Tribe,
2,Yeah.,Jenna,Tribe,
2,You're both right.,Probst,Tribe,
2,"Amber, your hit doesn't really matter.",Probst,Amber,
2,"Rupert, you get the final honors. Take Amber out.",Probst,Rupert,
2,"Nice job, Rupert.",Alicia,Rupert,One Person
2,"Thank you all, you guys.",Rupert,Tribe,A Group
2,"Rupert, with that, wins reward.",Probst,Tribe,
2,"Rupert, you will be in charge of the menu tonight.",Probst,Rupert,
2,The boat will come and pick you up. You guys can now head back to camp.,Probst,Tribe,
2,"You guys gave that one to me. I appreciate that one. Thank you, guys.",Rupert,Tribe,A Group
2,That was awesome.,ShiiAnn,Rupert,One Person
2,"I think the biggest thing that happened at our reward challenge today was Alicia got all upset again. She was mocked by the tribe as the person least deserving to be an all-star. Her ego took a blow, but you know, people say things for a reason, so maybe she needs to take a look at herself.",Rob,Camera,
2,"I thought they were pretty good. The, uh...the masks, too.",Rob,Tribe,A Group
2,I thought the masks were pretty good.,Rupert,Tribe,A Group
2,"You know it's never fun to hear things about yourself that aren't flattering, and then have to... the same people that said those things, you're stuck with them. That's not fun.",Alicia,Camera,
2,It would be nice to get out of camp tonight.,Jenna,Tribe,
2,"Alicia, you okay?",Jenna,Alicia,One Person
2,"I'm fabulous, baby.",Alicia,Jenna,One Person
2,"Okay, If it helps I'm a big mouth.",Jenna,Alicia,One Person
2,"Yeah, but did everybody say that you don't deserve to be here and that you definitely think you're smart and you're not. Did people say that about you?",Alicia,Jenna,One Person
2,Let's say there's only seven. Let's say.,Jenna,Alicia,One Person
2,"It doesn't matter, dude. It's already been said. Done.",Alicia,Jenna,One Person
2,"Alicia's very emotional. And when something upsets her, she becomes a huge grump around the camp. She's just being a big baby about it. People are observing it. People are getting annoyed with it. People will vote you out sooner because they don't want to live with it.",Amber,Camera,
2,"Don't, don't, don't, don't.",Alicia,Jenna,One Person
2,"I know you don't want somebody to talk to you, but I'm a mom, its my job.",Jenna,Alicia,One Person
2,"Yeah, but you know what? You're not my mom, so it's all good.",Alicia,Jenna,One Person
2,But you're hurt.,Alicia,Jenna,One Person
2,"Well, you know what? That's just the way it goes.",Jenna,Alicia,One Person
2,"I don't want anybody hugging me or touching me or trying to ... Leave me alone. The only person that tried to not give me my space was Jenna. Jenna's trying to put her arm around me. Give me a break. Jenna and I have no connection at all. I mean, she's probably one of the people that voted that way anyway. So she needs to save it. Jenna would be the last person that I would go to for consoling, the last person.",Alicia,Camera,
2,"Listen, I know you got a really big decision, and I know you're the most generous person out here, probably. And just know that we understand where your position is. But I'd like to have the choice is all I'm asking.",Jenna,Rupert,One Person
2,Okay. That's a great idea.,Rupert,Jenna,One Person
2,"Like if you said, ""This is my decision for the order,"" and then just give us choices.",Jenna,Rupert,One Person
2,That's a great idea.,Rupert,Jenna,One Person
2,"You know, that's almost a challenge I wish I didn't win. This is what killed me on Pearl Islands was, I let the pecking order be known and then I was the next one gone.",Rupert,Camera,
2,"But don't be a martyr and be like, ""I'm going to take the smallest one and put everyone else above me 'cause you need to be strong, too, okay? I just don't think you should give away your big one.",Jenna,Rupert,One Person
2,"I love Rupert, but strategy-wise he is... I don't want to say not good at the game, he is, but he needs some coaching.",Jenna,Camera,
2,Seven of us.,Rupert,Jenna,One Person
2,I do say ShiiAnn gets the rice.,Jenna,Rupert,One Person
2,ShiiAnn gets the rice.,Rupert,Jenna,One Person
2,"But I think we keep ourselves strong, us four. We have the numbers.",Jenna,Rupert,One Person
2,They can't hurt us.,Rupert,Jenna,One Person
2,"No, they can't.",Jenna,Rupert,One Person
2,This adventure is geared to create hard feelings between people.,Rupert,Camera,
3,I hate being that person that creates the hard feelings.,Rupert,Camera,
3,Come on in guys! Welcome to the Romantica Restaurant.,Probst,Tribe,
3,Thank you.,Rupert,Probst,
3,"Rupert, you're at the head of the table.",Probst,Rupert,
3,Cool.,Rupert,Probst,
3,Everybody else head in this way and take a seat.,Probst,Tribe,
3,"So, Rupert, it's your reward. Good news is, you get your first choice of anything here you want. We got a big piece of steak, shrimp, all the fixings. The bad news is, you have to allocate the rest and somebody's going to end up with a very cold bowl of rice and water from your own camp. So, let me go over the rest of your choices. We have potatoes with tap water. Then we have a salad with tap water that's been chilled. And we have a ham and cheese sandwich with some sparkling water and a little bit of lemon. We also have a hot dog, sauerkraut, and orange juice. Then we have a big cheeseburger and French fry plate. So, you can start with yourself. You can start anywhere you want.",Probst,Rupert,
3,I'm going to start with me and I'm taking the steak.,Rupert,Probst,A Group
3,All right.,Probst,Rupert,
3,Thank you sir.,Rupert,Probst,A Group
3,"Along with the steak, open bar, for you only. You just tell him what you want to drink and he'll keep refilling it.",Probst,Rupert,
3,We'll start with a cerveza.,Rupert,Server,
3,All right.,Probst,Rupert,
3,"Rupert's starting with a beer. So, this is on you. It's your menu. You're going to distribute it.",Probst,Tribe,
3,I would like Rob to choose next.,Rupert,Tribe,
3,"I'll have the burger, please.",Rob,Tribe,A Group
3,One ice-cold cola and the burger.,Probst,Rob,
3,I'd like Jenna to choose next.,Rupert,Tribe,A Group
3,Hot dog and orange juice.,Jenna,Tribe,A Group
3,Going right down the line.,Probst,Rupert,
3,Orange juice.,Probst,Jenna,
3,I would like Amber to choose next.,Rupert,Tribe,A Group
3,I'll have the sandwich.,Amber,Tribe,A Group
3,"Ham and cheese sandwich, sparkling water.",Probst,Amber,
3,"All right, Rupert, three items left.",Probst,Rupert,
3,Alicia?,Rupert,Alicia,A Group
3,I would love the salad.,Alicia,Tribe,A Group
3,Salad and cold water.,Probst,Alicia,
3,Thank you.,Alicia,Probst,
3,I probably would have chose that.,Alicia,Tribe,A Group
3,Good. Very good.,Rupert,Alicia,
3,That worked out.,Probst,Alicia,
3,That worked out perfectly for me!,Alicia,Probst,
3,"Big Tom, what do you want?",Rupert,Tom,One Person
3,Big Tom picks next.,Probst,Tribe,
3,"Whatever, what is that? I'll eat some potatoes. Potatoes, yeah.",Tom,Probst,A Group
3,Potatoes?,Probst,Tom,
3,Leave the Asian girl with the rice.,ShiiAnn,Tribe,A Group
3,Yeah.,Rupert,ShiiAnn,
3,We went to one of the fanciest restaurants. They said it was five-star.,Tom,Camera,
3,Please don't stab me.,Rupert,Tom,One Person
3,But I wouldn't hit a dog in the hind end with it 'cause I got a tater and it was cold.,Tom,Camera,
3,"ShiiAnn, our camp.",Rupert,ShiiAnn,
3,Camp water and cold rice.,Probst,ShiiAnn,
3,"I hope it's boiled, both the rice and the camp water.",ShiiAnn,Tribe,A Group
3,"A little bit of an awkward dinner, but it's a dinner nonetheless.",Probst,Tribe,
3,Thank god.,Alicia,Tribe,
3,You're warm for a little while. I'll get out of your hair. Bon appetit.,Probst,Tribe,
3,"Thank you, Jeff.",Rupert,Probst,
3,This camp water tastes better out here because of the romantic lighting.,ShiiAnn,Rupert,One Person
3,Good.,Rupert,ShiiAnn,One Person
