"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"114","Alicia","Amber",2,59,"Win",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"115","Alicia","Amber",3,1,"Win",0.8,"Alicia","Amber","AliciaAmber",0.35860553
"116","Alicia","Amber",3,2,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"117","Alicia","Amber",3,3,"Win",1,"Alicia","Amber","AliciaAmber",0.35860553
"118","Alicia","Amber",3,4,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"119","Alicia","Amber",3,5,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"120","Alicia","Amber",3,6,"Win",1,"Alicia","Amber","AliciaAmber",0.35860553
"121","Alicia","Amber",3,7,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"122","Alicia","Amber",3,8,"Win",1,"Alicia","Amber","AliciaAmber",0.35860553
"123","Alicia","Amber",3,9,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"124","Alicia","Amber",3,10,"Rival",0,"Alicia","Amber","AliciaAmber",0.35860553
"125","Alicia","Amber",3,11,"Rival",0.25,"Alicia","Amber","AliciaAmber",0.35860553
"126","Alicia","Amber",3,12,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"127","Alicia","Amber",3,13,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"128","Alicia","Amber",3,14,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"129","Alicia","Amber",3,15,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"130","Alicia","Amber",3,16,"Rival",0.8,"Alicia","Amber","AliciaAmber",0.35860553
"131","Alicia","Amber",3,18,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"132","Alicia","Amber",3,19,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"133","Alicia","Amber",3,20,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"134","Alicia","Amber",3,21,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"135","Alicia","Amber",3,22,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"136","Alicia","Amber",3,23,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"137","Alicia","Amber",3,24,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"138","Alicia","Amber",3,25,"Win",0.8,"Alicia","Amber","AliciaAmber",0.35860553
"139","Alicia","Amber",3,26,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.35860553
