"Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","speaker.sentiment","speaker.clout","overall.sentiment","recent.sentiment","cumulative.sentiment","overall.clout","recent.clout","cumulative.clout","recent.similarity","mean.wordcount"
"Alicia","Amber",2,36,"Rival",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,44,"Win",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,30,"Friend",0,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,27,"Rival",0.75,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,58,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,40,"Rival",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,6,"Friend",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,4,"Rival",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,56,"Win",0,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,46,"Friend",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,21,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,24,"Win",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,16,"Friend",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,14,"Rival",0,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,53,"Friend",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,39,"Rival",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
